gene,sample,platform,recall,precision,f1
HLA-B,HG002,promethion,0.991228,0.990991,0.99111
HLA-B,HG003,promethion,0.991667,0.991453,0.99156
HLA-B,HG004,promethion,0.974359,1,0.987013
HLA-B,HG005,promethion,0.992537,1,0.996255
HLA-B,HG002,revio,1,1,1
HLA-B,HG003,revio,1,1,1
HLA-B,HG004,revio,1,1,1
HLA-B,HG005,revio,1,1,1
C4A,HG002,promethion,0.866667,1,0.928571
C4A,HG003,promethion,0.615385,0.842105,0.711111
C4A,HG004,promethion,0.684211,0.8125,0.742857
C4A,HG005,promethion,0.727273,0.666667,0.695652
C4A,HG002,revio,0.866667,0.928571,0.896552
C4A,HG003,revio,0.769231,1,0.869565
C4A,HG004,revio,0.684211,0.928571,0.787879
C4A,HG005,revio,0.727273,0.8,0.761905
C4B,HG002,promethion,0.888889,0.888889,0.888889
C4B,HG003,promethion,1,1,1
C4B,HG004,promethion,0.95,1,0.974359
C4B,HG005,promethion,0.857143,0.923077,0.888889
C4B,HG002,revio,0.888889,1,0.941176
C4B,HG003,revio,1,1,1
C4B,HG004,revio,1,0.952381,0.97561
C4B,HG005,revio,0.928571,1,0.962963
