sample,platform,type,truth_total,truth_tp,truth_fn,query_fp,recall,precision,f1
HG002,revio,snp,2433,2424,9,1,0.996301,0.999588,0.997942
HG002,revio,indel,177,173,4,1,0.977401,0.994318,0.985787
HG002,promethion,snp,2433,2373,60,16,0.975339,0.993257,0.984217
HG002,promethion,indel,177,155,22,7,0.875706,0.960894,0.916324
HG003,revio,snp,2113,2089,24,18,0.988642,0.991469,0.990053
HG003,revio,indel,182,179,3,4,0.983516,0.978723,0.981114
HG003,promethion,snp,2113,2043,70,50,0.966872,0.975985,0.971407
HG003,promethion,indel,182,154,28,9,0.846154,0.949721,0.894951
HG004,revio,snp,2393,2389,4,3,0.998328,0.998747,0.998538
HG004,revio,indel,183,182,1,2,0.994536,0.989305,0.991913
HG004,promethion,snp,2393,2335,58,26,0.975763,0.988946,0.982310
HG004,promethion,indel,183,159,24,9,0.868852,0.950549,0.907867
HG005,revio,snp,3028,3028,0,0,1.000000,1.000000,1.000000
HG005,revio,indel,238,233,5,1,0.978992,0.995851,0.987349
HG005,promethion,snp,3028,3010,18,15,0.994055,0.995020,0.994537
HG005,promethion,indel,238,213,25,15,0.894958,0.940945,0.917375
