Proportion,Depth,Variant,Metric,Value
0.005,1.089420289855072,INDEL,Recall,0.207317
0.005,1.089420289855072,INDEL,Precision,0.9444440000000001
0.005,1.089420289855072,INDEL,F1,0.34
0.005,1.089420289855072,SNP,Recall,0.20261400000000002
0.005,1.089420289855072,SNP,Precision,0.9567899999999999
0.005,1.089420289855072,SNP,F1,0.334412
0.01,1.9928985507246375,INDEL,Recall,0.5
0.01,1.9928985507246375,INDEL,Precision,0.9534879999999999
0.01,1.9928985507246375,INDEL,F1,0.656
0.01,1.9928985507246375,SNP,Recall,0.486275
0.01,1.9928985507246375,SNP,Precision,0.9712790000000001
0.01,1.9928985507246375,SNP,F1,0.648084
0.015,3.031884057971015,INDEL,Recall,0.5853659999999999
0.015,3.031884057971015,INDEL,Precision,0.96
0.015,3.031884057971015,INDEL,F1,0.727273
0.015,3.031884057971015,SNP,Recall,0.643137
0.015,3.031884057971015,SNP,Precision,0.9704139999999999
0.015,3.031884057971015,SNP,F1,0.7735850000000001
0.02,4.034202898550727,INDEL,Recall,0.621951
0.02,4.034202898550727,INDEL,Precision,0.9444440000000001
0.02,4.034202898550727,INDEL,F1,0.75
0.02,4.034202898550727,SNP,Recall,0.7633989999999999
0.02,4.034202898550727,SNP,Precision,0.971714
0.02,4.034202898550727,SNP,F1,0.855051
0.025,5.158115942028985,INDEL,Recall,0.695122
0.025,5.158115942028985,INDEL,Precision,0.934426
0.025,5.158115942028985,INDEL,F1,0.797203
0.025,5.158115942028985,SNP,Recall,0.8614379999999999
0.025,5.158115942028985,SNP,Precision,0.9880059999999999
0.025,5.158115942028985,SNP,F1,0.920391
0.03,6.192898550724637,INDEL,Recall,0.780488
0.03,6.192898550724637,INDEL,Precision,0.916667
0.03,6.192898550724637,INDEL,F1,0.8431139999999999
0.03,6.192898550724637,SNP,Recall,0.9202610000000001
0.03,6.192898550724637,SNP,Precision,0.988748
0.03,6.192898550724637,SNP,F1,0.953276
0.035,7.108695652173914,INDEL,Recall,0.804878
0.035,7.108695652173914,INDEL,Precision,0.9295770000000001
0.035,7.108695652173914,INDEL,F1,0.8627450000000001
0.035,7.108695652173914,SNP,Recall,0.9346409999999999
0.035,7.108695652173914,SNP,Precision,0.984848
0.035,7.108695652173914,SNP,F1,0.9590879999999999
0.04,8.184202898550724,INDEL,Recall,0.841463
0.04,8.184202898550724,INDEL,Precision,0.92
0.04,8.184202898550724,INDEL,F1,0.8789809999999999
0.04,8.184202898550724,SNP,Recall,0.950327
0.04,8.184202898550724,SNP,Precision,0.986431
0.04,8.184202898550724,SNP,F1,0.968043
0.045,9.216521739130437,INDEL,Recall,0.8536590000000001
0.045,9.216521739130437,INDEL,Precision,0.921053
0.045,9.216521739130437,INDEL,F1,0.886076
0.045,9.216521739130437,SNP,Recall,0.968627
0.045,9.216521739130437,SNP,Precision,0.988
0.045,9.216521739130437,SNP,F1,0.978218
0.05,10.297826086956526,INDEL,Recall,0.890244
0.05,10.297826086956526,INDEL,Precision,0.936709
0.05,10.297826086956526,INDEL,F1,0.9128860000000001
0.05,10.297826086956526,SNP,Recall,0.981699
0.05,10.297826086956526,SNP,Precision,0.990765
0.05,10.297826086956526,SNP,F1,0.9862110000000001
0.055,11.323188405797099,INDEL,Recall,0.902439
0.055,11.323188405797099,INDEL,Precision,0.925926
0.055,11.323188405797099,INDEL,F1,0.914032
0.055,11.323188405797099,SNP,Recall,0.986928
0.055,11.323188405797099,SNP,Precision,0.992116
0.055,11.323188405797099,SNP,F1,0.9895149999999999
0.06,12.208115942028988,INDEL,Recall,0.902439
0.06,12.208115942028988,INDEL,Precision,0.925926
0.06,12.208115942028988,INDEL,F1,0.914032
0.06,12.208115942028988,SNP,Recall,0.992157
0.06,12.208115942028988,SNP,Precision,0.993455
0.06,12.208115942028988,SNP,F1,0.992806
0.065,13.183043478260869,INDEL,Recall,0.902439
0.065,13.183043478260869,INDEL,Precision,0.9146340000000001
0.065,13.183043478260869,INDEL,F1,0.9084959999999999
0.065,13.183043478260869,SNP,Recall,0.994771
0.065,13.183043478260869,SNP,Precision,0.9921770000000001
0.065,13.183043478260869,SNP,F1,0.9934729999999999
0.07,14.346956521739132,INDEL,Recall,0.9146340000000001
0.07,14.346956521739132,INDEL,Precision,0.9268290000000001
0.07,14.346956521739132,INDEL,F1,0.920691
0.07,14.346956521739132,SNP,Recall,0.996078
0.07,14.346956521739132,SNP,Precision,0.993481
0.07,14.346956521739132,SNP,F1,0.994778
0.075,15.456811594202895,INDEL,Recall,0.9146340000000001
0.075,15.456811594202895,INDEL,Precision,0.9156629999999999
0.075,15.456811594202895,INDEL,F1,0.915148
0.075,15.456811594202895,SNP,Recall,0.9973860000000001
0.075,15.456811594202895,SNP,Precision,0.994785
0.075,15.456811594202895,SNP,F1,0.996084
0.08,16.451014492753625,INDEL,Recall,0.9146340000000001
0.08,16.451014492753625,INDEL,Precision,0.9156629999999999
0.08,16.451014492753625,INDEL,F1,0.915148
0.08,16.451014492753625,SNP,Recall,0.998693
0.08,16.451014492753625,SNP,Precision,0.9960889999999999
0.08,16.451014492753625,SNP,F1,0.997389
0.085,17.401159420289854,INDEL,Recall,0.9146340000000001
0.085,17.401159420289854,INDEL,Precision,0.9156629999999999
0.085,17.401159420289854,INDEL,F1,0.915148
0.085,17.401159420289854,SNP,Recall,0.998693
0.085,17.401159420289854,SNP,Precision,0.994792
0.085,17.401159420289854,SNP,F1,0.9967379999999999
0.09,18.56449275362319,INDEL,Recall,0.939024
0.09,18.56449275362319,INDEL,Precision,0.9176469999999999
0.09,18.56449275362319,INDEL,F1,0.928213
0.09,18.56449275362319,SNP,Recall,0.998693
0.09,18.56449275362319,SNP,Precision,0.9960889999999999
0.09,18.56449275362319,SNP,F1,0.997389
0.095,19.421739130434776,INDEL,Recall,0.939024
0.095,19.421739130434776,INDEL,Precision,0.9176469999999999
0.095,19.421739130434776,INDEL,F1,0.928213
0.095,19.421739130434776,SNP,Recall,0.998693
0.095,19.421739130434776,SNP,Precision,0.997389
0.095,19.421739130434776,SNP,F1,0.9980399999999999
0.1,20.569130434782608,INDEL,Recall,0.9268290000000001
0.1,20.569130434782608,INDEL,Precision,0.9277110000000001
0.1,20.569130434782608,INDEL,F1,0.92727
0.1,20.569130434782608,SNP,Recall,0.9973860000000001
0.1,20.569130434782608,SNP,Precision,0.996084
0.1,20.569130434782608,SNP,F1,0.996734
