Proportion,Depth,Variant,Metric,Value
0.005,4.062499999999999,INDEL,Recall,0.712121
0.005,4.062499999999999,INDEL,Precision,0.9215690000000001
0.005,4.062499999999999,INDEL,F1,0.803419
0.005,4.062499999999999,SNP,Recall,0.661778
0.005,4.062499999999999,SNP,Precision,0.925736
0.005,4.062499999999999,SNP,F1,0.771813
0.01,8.27,INDEL,Recall,0.787879
0.01,8.27,INDEL,Precision,0.9285709999999999
0.01,8.27,INDEL,F1,0.852459
0.01,8.27,SNP,Recall,0.758937
0.01,8.27,SNP,Precision,0.9346110000000001
0.01,8.27,SNP,F1,0.8376620000000001
0.015,12.78,INDEL,Recall,0.924242
0.015,12.78,INDEL,Precision,0.9682540000000001
0.015,12.78,INDEL,F1,0.945736
0.015,12.78,SNP,Recall,0.885426
0.015,12.78,SNP,Precision,0.9699399999999999
0.015,12.78,SNP,F1,0.925758
0.02,16.947499999999998,INDEL,Recall,0.9696969999999999
0.02,16.947499999999998,INDEL,Precision,1.0
0.02,16.947499999999998,INDEL,F1,0.984615
0.02,16.947499999999998,SNP,Recall,0.908341
0.02,16.947499999999998,SNP,Precision,0.9910180000000001
0.02,16.947499999999998,SNP,F1,0.94788
0.025,20.97125,INDEL,Recall,0.9696969999999999
0.025,20.97125,INDEL,Precision,1.0
0.025,20.97125,INDEL,F1,0.984615
0.025,20.97125,SNP,Recall,0.912007
0.025,20.97125,SNP,Precision,0.9940180000000001
0.025,20.97125,SNP,F1,0.951248
0.03,24.988750000000003,INDEL,Recall,0.9696969999999999
0.03,24.988750000000003,INDEL,Precision,1.0
0.03,24.988750000000003,INDEL,F1,0.984615
0.03,24.988750000000003,SNP,Recall,0.9193399999999999
0.03,24.988750000000003,SNP,Precision,1.0
0.03,24.988750000000003,SNP,F1,0.957975
0.035,29.142500000000002,INDEL,Recall,0.984848
0.035,29.142500000000002,INDEL,Precision,0.984848
0.035,29.142500000000002,INDEL,F1,0.984848
0.035,29.142500000000002,SNP,Recall,0.9560040000000001
0.035,29.142500000000002,SNP,Precision,0.989583
0.035,29.142500000000002,SNP,F1,0.972504
0.04,33.364999999999995,INDEL,Recall,0.984848
0.04,33.364999999999995,INDEL,Precision,0.984848
0.04,33.364999999999995,INDEL,F1,0.984848
0.04,33.364999999999995,SNP,Recall,0.9560040000000001
0.04,33.364999999999995,SNP,Precision,0.989583
0.04,33.364999999999995,SNP,F1,0.972504
0.045,38.06875,INDEL,Recall,1.0
0.045,38.06875,INDEL,Precision,1.0
0.045,38.06875,INDEL,F1,1.0
0.045,38.06875,SNP,Recall,0.9651700000000001
0.045,38.06875,SNP,Precision,0.9990530000000001
0.045,38.06875,SNP,F1,0.981819
0.05,42.29,INDEL,Recall,1.0
0.05,42.29,INDEL,Precision,1.0
0.05,42.29,INDEL,F1,1.0
0.05,42.29,SNP,Recall,0.973419
0.05,42.29,SNP,Precision,1.0
0.05,42.29,SNP,F1,0.9865299999999999
0.055,46.335,INDEL,Recall,1.0
0.055,46.335,INDEL,Precision,1.0
0.055,46.335,INDEL,F1,1.0
0.055,46.335,SNP,Recall,0.9789180000000001
0.055,46.335,SNP,Precision,1.0
0.055,46.335,SNP,F1,0.989347
0.06,50.16375000000001,INDEL,Recall,1.0
0.06,50.16375000000001,INDEL,Precision,1.0
0.06,50.16375000000001,INDEL,F1,1.0
0.06,50.16375000000001,SNP,Recall,0.982585
0.06,50.16375000000001,SNP,Precision,1.0
0.06,50.16375000000001,SNP,F1,0.991216
0.065,54.14625000000001,INDEL,Recall,1.0
0.065,54.14625000000001,INDEL,Precision,1.0
0.065,54.14625000000001,INDEL,F1,1.0
0.065,54.14625000000001,SNP,Recall,0.982585
0.065,54.14625000000001,SNP,Precision,1.0
0.065,54.14625000000001,SNP,F1,0.991216
0.07,57.805,INDEL,Recall,1.0
0.07,57.805,INDEL,Precision,1.0
0.07,57.805,INDEL,F1,1.0
0.07,57.805,SNP,Recall,0.9835010000000001
0.07,57.805,SNP,Precision,1.0
0.07,57.805,SNP,F1,0.991682
0.075,61.49499999999999,INDEL,Recall,1.0
0.075,61.49499999999999,INDEL,Precision,1.0
0.075,61.49499999999999,INDEL,F1,1.0
0.075,61.49499999999999,SNP,Recall,0.9835010000000001
0.075,61.49499999999999,SNP,Precision,1.0
0.075,61.49499999999999,SNP,F1,0.991682
0.08,65.1575,INDEL,Recall,1.0
0.08,65.1575,INDEL,Precision,1.0
0.08,65.1575,INDEL,F1,1.0
0.08,65.1575,SNP,Recall,0.986251
0.08,65.1575,SNP,Precision,1.0
0.08,65.1575,SNP,F1,0.993078
0.085,69.0825,INDEL,Recall,1.0
0.085,69.0825,INDEL,Precision,1.0
0.085,69.0825,INDEL,F1,1.0
0.085,69.0825,SNP,Recall,0.99725
0.085,69.0825,SNP,Precision,1.0
0.085,69.0825,SNP,F1,0.9986229999999999
0.09,73.33,INDEL,Recall,1.0
0.09,73.33,INDEL,Precision,1.0
0.09,73.33,INDEL,F1,1.0
0.09,73.33,SNP,Recall,0.996334
0.09,73.33,SNP,Precision,1.0
0.09,73.33,SNP,F1,0.9981629999999999
0.095,77.34374999999999,INDEL,Recall,1.0
0.095,77.34374999999999,INDEL,Precision,1.0
0.095,77.34374999999999,INDEL,F1,1.0
0.095,77.34374999999999,SNP,Recall,0.996334
0.095,77.34374999999999,SNP,Precision,1.0
0.095,77.34374999999999,SNP,F1,0.9981629999999999
0.1,81.04625,INDEL,Recall,1.0
0.1,81.04625,INDEL,Precision,1.0
0.1,81.04625,INDEL,F1,1.0
0.1,81.04625,SNP,Recall,0.996334
0.1,81.04625,SNP,Precision,1.0
0.1,81.04625,SNP,F1,0.9981629999999999
