MHC_Class,Proportion,Replicate,Depth,Variant,Metric,Value
MHC_Class_I,0.09,9,74.28166666666667,INDEL,Recall,0.931034
MHC_Class_I,0.09,9,74.28166666666667,INDEL,Precision,1.0
MHC_Class_I,0.09,9,74.28166666666667,INDEL,F1,0.9642860000000001
MHC_Class_I,0.09,9,74.28166666666667,SNP,Recall,1.0
MHC_Class_I,0.09,9,74.28166666666667,SNP,Precision,1.0
MHC_Class_I,0.09,9,74.28166666666667,SNP,F1,1.0
MHC_Class_III,0.09,3,19.059999999999995,INDEL,Recall,0.9512200000000001
MHC_Class_III,0.09,3,19.059999999999995,INDEL,Precision,0.9634149999999999
MHC_Class_III,0.09,3,19.059999999999995,INDEL,F1,0.9572780000000001
MHC_Class_III,0.09,3,19.059999999999995,SNP,Recall,0.994771
MHC_Class_III,0.09,3,19.059999999999995,SNP,Precision,0.9921770000000001
MHC_Class_III,0.09,3,19.059999999999995,SNP,F1,0.9934729999999999
MHC_Class_I,0.09,6,77.11666666666666,INDEL,Recall,0.931034
MHC_Class_I,0.09,6,77.11666666666666,INDEL,Precision,1.0
MHC_Class_I,0.09,6,77.11666666666666,INDEL,F1,0.9642860000000001
MHC_Class_I,0.09,6,77.11666666666666,SNP,Recall,1.0
MHC_Class_I,0.09,6,77.11666666666666,SNP,Precision,1.0
MHC_Class_I,0.09,6,77.11666666666666,SNP,F1,1.0
MHC_Class_II,0.09,4,73.18125,INDEL,Recall,1.0
MHC_Class_II,0.09,4,73.18125,INDEL,Precision,1.0
MHC_Class_II,0.09,4,73.18125,INDEL,F1,1.0
MHC_Class_II,0.09,4,73.18125,SNP,Recall,0.9761690000000001
MHC_Class_II,0.09,4,73.18125,SNP,Precision,1.0
MHC_Class_II,0.09,4,73.18125,SNP,F1,0.987941
MHC_Class_II,0.09,6,73.37,INDEL,Recall,0.984848
MHC_Class_II,0.09,6,73.37,INDEL,Precision,1.0
MHC_Class_II,0.09,6,73.37,INDEL,F1,0.992366
MHC_Class_II,0.09,6,73.37,SNP,Recall,0.978002
MHC_Class_II,0.09,6,73.37,SNP,Precision,1.0
MHC_Class_II,0.09,6,73.37,SNP,F1,0.9888790000000001
