gene_name	HG002	HG003	HG004	HG005	HG01106	HG01258	HG01928	HG02055	HG02630	HG03492	HG03579	NA19240	NA20129	NA21309	NA24694	NA24695	IHW09021	IHW09049	IHW09071	IHW09117	IHW09118	IHW09122	IHW09125	IHW09175	IHW09198	IHW09200	IHW09224	IHW09245	IHW09251	IHW09359	IHW09364	IHW09409
HLA-F	316	213	146	137	252	295	174	167	160	129	66	67	281	187	257	116	197	418	130	516	73	719	369	198	278	323	335	22	180	511	41	222
ENSG00000225864	1024	714	421	388	698	880	403	407	487	459	181	180	980	655	678	314	598	1240	287	1460	199	1884	1131	576	678	947	1064	82	460	1642	98	632
RPL23AP1	622	427	317	300	540	592	395	414	333	250	145	151	508	349	561	250	383	871	306	1080	164	1516	782	412	640	644	688	42	421	1012	64	462
HLA-V	423	275	231	193	369	416	331	240	237	161	79	98	378	267	389	168	289	645	111	719	89	990	594	237	447	428	480	17	191	673	128	394
HCG4	743	509	391	329	605	670	553	402	414	312	158	162	652	442	661	294	434	871	139	1194	129	1615	995	349	623	698	896	40	319	1205	161	709
HLA-V	766	525	400	339	632	699	564	416	428	324	154	176	684	463	686	298	461	964	160	1233	152	1677	1039	342	701	729	917	39	338	1203	182	728
HLA-P	89	80	69	30	91	75	75	72	45	52	23	48	106	47	76	24	76	196	53	184	35	197	163	106	106	112	85	0	89	158	20	90
RPL7AP7	58	63	39	27	51	36	52	48	34	27	14	26	63	26	52	13	49	137	31	128	25	192	87	61	89	45	30	0	47	96	17	64
HLA-G	918	652	372	476	767	889	753	652	579	382	182	240	756	554	809	395	541	1203	448	1636	247	2289	1173	655	929	1153	1222	82	609	2114	192	606
HCG4P8	976	624	326	479	757	863	744	622	600	398	175	228	796	567	795	406	565	1234	432	1787	231	2251	1254	640	855	1143	1203	77	689	2119	180	608
ENSG00000230521	1120	812	585	0	892	1098	762	331	595	575	127	232	965	734	444	198	780	1377	406	1982	140	1410	1476	592	1127	1120	1386	55	272	1413	175	817
HLA-H	1267	873	654	0	1018	1230	915	383	642	612	146	264	1092	817	514	218	1038	1618	570	2218	273	1792	1931	750	1755	1490	1610	91	383	1564	286	1118
