gene_name	HG002	HG003	HG004	HG005	HG01106	HG01258	HG01928	HG02055	HG02630	HG03492	HG03579	NA19240	NA20129	NA21309	NA24694	NA24695	IHW09021	IHW09049	IHW09071	IHW09117	IHW09118	IHW09122	IHW09125	IHW09175	IHW09198	IHW09200	IHW09224	IHW09245	IHW09251	IHW09359	IHW09364	IHW09409
HLA-F	284.98	218.93	107.58	122.41	205.51	217.85	158.56	145.29	142.59	159.31	59.87	80.65	254.51	183.5	204.46	107.73	179.88	355.42	134.76	462.04	101.93	521.73	350.8	192.6	238.12	311.97	351.5	58.93	213.48	439.9	67.83	257.92
HLA-G	982.62	698.36	322.15	412.34	681.62	707.27	666.83	540.93	481.75	558.61	202.34	338.66	818.72	605.08	663.37	426.33	561.48	1169.51	428.13	1663.19	343.52	1806.41	1218.04	634.29	784.19	1077.93	1248.04	213.11	748.28	1601.86	248.04	802.38
HLA-A	881.41	861.28	471.32	386.34	954.12	653.23	510.88	578.12	427.68	501.77	271.5	426.47	926.23	576.46	643.65	351.32	1076.77	1658.9	754.26	1893.96	380.62	1616.87	1150.9	612.32	909.43	1326.04	1492.19	265.69	662.09	1899.66	340.03	1380.06
HLA-E	840.12	632.74	309.25	331.2	534.15	633.05	500.59	385.51	400.84	486.45	181.55	245.36	709.59	533.97	555.79	329.03	561.73	991.66	346.03	1307.5	322.37	1472.57	1068.33	595.13	683.42	928.06	1002.92	147.51	640.45	1366.05	261.16	701.03
HLA-C	1473.52	1114.81	598.66	645.4	973.22	1112.45	756.42	684.3	694.39	877.56	356.98	425.26	1245.81	853.85	1030.34	587.04	1078.24	1749.48	782.53	2335.71	666.38	2675.65	1938.96	1105.33	1415.99	1638.1	1838.15	421.95	1008.27	2373.42	484.76	1523.26
HLA-B	526.9	387.59	197.67	219.16	343.18	390.11	283.73	250.2	263.57	307.11	126.86	137.47	451.47	342.72	384.82	199.6	380.4	674.24	308.82	809.58	220.96	998.07	674.8	393.78	532.27	563.78	643.42	123.56	410.04	813.83	157.77	502.01
MCCD1	453.26	317.77	136.59	143.3	284.08	343.61	266.6	219.61	172.51	235.31	96.05	154.22	351.76	259.6	282.97	157.16	290.42	517.18	199.42	692.06	228.05	680.35	472.33	277.04	301.49	461.1	512.76	124.97	269.41	723.12	83.3	371.73
DDX39B	370.89	264.23	125.07	124.76	251.86	273.32	207.13	184.69	141.12	198.15	66.54	123.12	300.34	210.88	227.6	118.35	249.69	403.25	168.16	521.05	138.13	602.08	394.82	235.45	305.33	392.41	454.68	103.64	270.56	555.16	103.64	315.81
ATP6V1G2-DDX39B	371.48	265.09	122.87	127.77	249.67	267.07	198.13	182.95	142.24	196.2	61.23	114.78	298.57	207.13	222.59	115.33	221.89	388.62	142.98	498.09	122.19	570.63	370.8	208.25	285.71	368.69	428.89	89.8	250.57	546.21	89.59	282.18
ATP6V1G2	417.89	317.2	137.09	141.26	284.24	263.98	191.02	198.22	160.01	212.11	55.32	97.17	316.99	219.23	233.29	124.65	183.02	411.75	100.15	534.82	84.36	598.01	400.16	140.87	237.61	375.17	437.58	55.82	245.95	602.65	57.18	259.48
