gene_name	HG002	HG003	HG004	HG005	HG01106	HG01258	HG01928	HG02055	HG02630	HG03492	HG03579	NA19240	NA20129	NA21309	NA24694	NA24695	IHW09021	IHW09049	IHW09071	IHW09117	IHW09118	IHW09122	IHW09125	IHW09175	IHW09198	IHW09200	IHW09224	IHW09245	IHW09251	IHW09359	IHW09364	IHW09409
HLA-F	225.89	153.08	96.58	100.77	173.82	189.42	118.28	108.04	114.83	89.51	45.78	51.22	189.73	135.69	173.65	75.9	44.12	92	31.06	112	20.51	157.92	78.28	44.77	69.01	78.99	81.97	8.7	49.39	115.59	16.45	54.63
HLA-G	669.18	452.31	259.93	332.7	526.66	590.27	504.48	439.78	400.56	285.16	128.22	184.25	540.43	397.86	557.9	273.91	153.92	311.24	93.03	411.55	66.2	529.92	295.91	142.11	224.15	297.45	288.95	31.19	155.08	437.11	62.83	158.43
HLA-A	708.76	719.55	458.06	320.76	939.71	629.64	444.3	473.6	421.89	294.18	224.51	275.06	756.82	439.23	602.63	248.68	326.87	526.88	206.96	590.27	79.38	560.02	311.19	151.94	301.08	409.88	416.41	39.12	175.68	646.57	107.77	341.21
HLA-E	614.33	456.97	268.37	273.56	440.24	548.53	389.24	301.21	319.6	300.41	112.88	140.33	497.08	417.28	511.76	214.95	146.26	272.42	99.59	349.91	67.01	503.12	269.97	142.58	221.3	275.35	226.5	26.54	160.29	403.05	78.76	162.42
HLA-C	1289.41	900	559.75	545.43	875.81	1054.2	658.92	561.9	698.63	592.82	280.28	249.48	1069.08	742.8	1081.75	398.6	306.39	546.3	205.81	736.38	154.15	1078.96	598.93	298.18	489.45	539.54	505.61	74.49	247.11	854.8	154.68	370.2
HLA-B	467.52	329.85	184.06	200.73	309.19	389.07	241.06	183.92	268.88	199.47	104.41	83.36	369.61	297.01	356.02	153.55	109.36	193.83	74.99	229.35	42.39	364.59	179.48	100.19	169.56	162.89	168.72	18.24	102.79	265.41	50.78	117.2
MCCD1	258.17	161.15	124.79	103.15	210.68	235.69	196.57	151.51	114.62	104.8	65.43	84.19	176.09	153.11	192.68	99.45	62.89	101.99	47.95	125.89	34.4	164.02	92.48	53.14	59.2	102.73	82.5	17.13	47.34	180.5	17.38	72.67
DDX39B	212.32	140.53	91.56	88.94	164.98	198.61	132.08	130.13	93.15	91.32	43.51	56.17	174.87	123.32	164.02	78.5	72.1	110.05	61.06	131.04	27.28	183.03	111.74	53.01	111.35	122.06	85.19	18.01	61.02	149.38	50.62	67.18
ATP6V1G2-DDX39B	213.64	142.04	88.97	86.49	165.23	199.1	126.38	126.28	93.86	91.84	42.07	51.84	173.43	126.81	161.36	75.01	62.74	100.49	49.61	117.23	23.03	163.47	96.81	45.68	97.55	105.91	80.39	15.44	55.34	138.73	41.5	58.21
ATP6V1G2	235.07	155.09	87.04	79.92	174.65	200.16	129.03	118.7	106.57	103.69	35.98	39.43	173.42	137.04	163.4	67.54	42.29	83.83	24.3	92.09	10.8	128.63	57.56	26.65	56.48	71.47	82.07	5.88	41.64	122.78	15.84	45.45
