gene_name	HG002	HG003	HG004	HG005	HG01106	HG01258	HG01928	HG02055	HG02630	HG03492	HG03579	NA19240	NA20129	NA21309	NA24694	NA24695	IHW09021	IHW09049	IHW09071	IHW09117	IHW09118	IHW09122	IHW09125	IHW09175	IHW09198	IHW09200	IHW09224	IHW09245	IHW09251	IHW09359	IHW09364	IHW09409
MCCD1	370	219	165	132	304	361	288	216	158	136	94	122	245	215	278	145	206	404	147	470	95	543	387	202	225	334	289	39	147	704	45	255
DDX39B	309	196	131	118	236	295	196	185	130	127	60	75	247	176	233	116	374	472	264	460	110	802	520	224	555	579	328	64	260	747	192	271
ATP6V1G2-DDX39B	309	198	129	115	235	294	188	178	129	125	58	68	247	183	227	108	310	411	210	423	92	708	447	202	473	493	316	53	225	690	151	236
ATP6V1G2	341	214	131	108	252	285	180	161	137	137	53	47	245	195	229	84	178	309	76	375	29	595	247	159	223	303	335	16	135	516	32	208
NFKBIL1	231	144	105	84	190	195	140	125	113	106	41	48	174	122	179	75	124	209	73	223	21	439	187	78	148	210	214	15	87	314	27	156
LTA	313	249	153	115	251	301	213	202	139	139	73	65	282	171	259	139	188	244	117	461	47	788	394	224	302	358	298	21	116	526	81	149
TNF	417	297	176	142	295	295	247	235	175	181	72	73	338	236	327	129	186	376	108	635	83	927	645	197	296	350	557	19	169	702	101	243
LTB	249	158	134	102	204	219	136	154	118	113	55	26	177	168	194	86	94	205	77	373	76	434	291	94	149	200	248	11	65	549	47	127
LST1	296	211	151	118	246	252	202	195	136	130	75	70	228	232	253	105	154	273	120	365	36	464	248	164	207	263	262	11	126	466	24	186
NCR3	238	189	139	105	215	243	167	189	138	121	73	62	190	177	221	77	120	165	72	294	39	356	255	101	166	224	240	6	59	251	31	92
AIF1	344	199	139	116	209	247	162	175	125	133	56	80	222	205	208	90	128	200	90	256	30	413	229	117	126	184	228	22	59	433	47	139
PRRC2A	273	192	149	104	239	232	239	178	122	117	53	81	242	173	217	98	191	294	84	495	61	582	277	175	276	214	302	31	128	583	57	161
ENSG00000291302	193	161	93	80	158	145	119	80	68	93	43	43	184	137	154	75	129	223	82	401	45	458	168	128	268	130	217	23	129	368	51	142
ENSG00000289282	280	175	116	91	220	195	184	131	92	106	49	54	191	151	191	77	115	214	94	427	45	447	197	174	267	194	205	23	129	535	35	89
BAG6	271	198	143	97	244	255	222	195	148	115	46	78	233	165	207	89	148	232	91	447	53	528	250	158	206	271	276	17	139	457	47	164
APOM	234	177	124	95	208	220	167	157	115	93	47	55	228	150	165	84	115	183	114	330	40	510	327	90	236	206	248	5	111	429	26	158
C6orf47	256	173	123	128	228	205	188	168	115	109	61	76	223	167	196	82	130	249	126	389	55	516	369	83	253	198	398	32	174	548	38	245
GPANK1	304	220	130	123	221	251	194	175	139	135	68	69	222	183	243	81	170	371	96	400	63	657	419	169	247	286	347	34	188	504	67	261
CSNK2B	364	238	155	122	277	313	213	217	171	143	57	87	254	238	277	107	224	452	84	617	118	700	537	185	270	321	350	27	148	760	64	304
ENSG00000263020	330	218	144	114	259	276	213	222	154	119	48	87	244	208	257	112	188	353	79	532	102	510	437	149	249	267	280	28	127	615	47	252
LY6G5B	288	195	129	101	229	237	207	225	133	91	39	84	231	168	234	111	143	235	76	403	78	303	317	105	232	210	211	31	112	432	28	189
LY6G5C	245	162	140	94	210	220	161	172	120	100	39	76	190	161	190	97	154	193	59	335	82	534	336	188	336	235	330	22	110	492	36	113
ABHD16A	264	190	133	124	237	266	233	205	137	119	62	79	222	178	246	118	253	313	260	435	86	737	374	139	342	426	275	41	210	647	137	171
LY6G6F	315	154	107	81	211	221	187	174	128	93	51	75	207	148	175	95	189	264	166	272	49	667	308	182	145	198	215	10	94	430	87	183
LY6G6F-LY6G6D	300	177	125	105	223	220	200	183	126	107	53	75	226	159	191	82	187	261	140	386	56	621	270	186	197	283	324	13	142	487	66	171
LY6G6D	248	178	135	123	226	196	211	192	109	109	60	72	208	178	181	75	185	293	102	470	57	630	271	160	300	349	419	18	174	544	56	138
MPIG6B	328	231	192	148	324	315	279	256	166	152	69	94	273	245	284	127	158	360	109	745	65	723	407	235	424	323	409	37	143	649	94	225
LY6G6C	292	207	170	133	303	270	249	234	143	122	58	88	225	229	242	110	149	362	89	633	39	657	378	139	383	288	396	55	127	557	76	167
