gene_name,HG002,HG003,HG004,HG005,HG01106,HG01258,HG01928,HG02055,HG02630,HG03492,HG03579,NA19240,NA20129,NA21309,NA24694,NA24695,IHW09021,IHW09049,IHW09071,IHW09117,IHW09118,IHW09122,IHW09125,IHW09175,IHW09198,IHW09200,IHW09224,IHW09245,IHW09251,IHW09359,IHW09364,IHW09409
HLA-A,712,727,540,331,802,548,438,496,384,446,240,368,768,478,536,292,710,1175,457,1211,253,957,702,419,600,888,985,175,474,1238,261,836
HLA-C,1201,925,659,565,822,877,645,583,615,743,309,382,1049,688,864,531,738,1245,452,1526,442,1628,1159,740,928,1095,1169,260,708,1572,382,905
HLA-B,428,326,224,188,291,323,241,215,231,264,111,119,371,274,328,170,252,447,174,498,143,589,408,255,344,362,403,80,274,508,117,280
MCCD1,380,290,184,127,244,295,234,201,154,209,82,132,305,218,245,129,215,377,114,444,140,449,312,202,191,331,356,81,190,451,73,231
DDX39B,300,201,148,106,219,236,157,155,120,158,61,98,273,165,192,81,198,353,123,403,104,442,311,182,266,328,331,72,204,422,112,231
ATP6V1G2-DDX39B,299,204,146,109,215,230,153,154,121,159,55,91,265,166,188,83,171,320,101,362,90,398,274,157,231,289,301,60,182,386,92,198
ATP6V1G2,346,262,171,128,236,222,156,172,141,190,50,81,273,189,204,97,113,269,50,309,58,345,227,96,143,220,269,36,146,343,41,143
NFKBIL1,228,138,89,68,134,125,92,87,82,98,36,46,157,102,140,34,78,168,37,189,42,241,143,63,110,152,178,22,88,221,35,104
LTA,346,256,171,137,244,259,199,180,135,191,71,76,298,192,233,116,153,258,82,357,79,403,290,128,190,256,303,54,168,367,74,166
TNF,383,283,204,144,267,258,236,200,149,230,76,99,338,216,263,119,141,352,65,384,89,481,327,161,223,299,386,46,156,462,62,208
LTB,320,206,148,99,192,191,130,177,106,191,55,66,229,158,193,107,97,220,58,284,71,345,255,103,133,230,234,40,115,345,33,164
LST1,333,258,177,136,235,233,190,184,104,219,71,104,302,223,219,115,145,272,88,359,64,391,266,141,169,290,305,33,158,420,43,179
NCR3,265,189,142,85,171,193,146,161,96,157,51,85,215,152,162,46,101,186,48,264,49,293,199,91,121,205,238,22,97,241,38,104
AIF1,299,174,112,94,151,143,131,111,85,161,33,77,248,132,169,74,120,241,51,284,49,313,211,121,134,176,258,25,104,335,38,140
PRRC2A,300,222,147,101,195,190,183,166,110,173,59,102,242,166,198,76,124,275,64,344,64,356,230,116,176,221,263,38,135,363,46,142
ENSG00000291302,143,188,121,74,126,111,111,105,66,137,35,67,138,120,92,55,108,263,50,283,53,321,175,93,171,162,226,31,108,302,50,121
ENSG00000289282,277,116,71,44,93,85,77,73,46,79,43,38,135,63,110,28,84,223,61,287,42,264,163,86,165,181,180,30,94,291,41,88
BAG6,282,229,152,102,213,202,174,169,114,158,58,97,247,164,191,68,121,240,69,309,63,333,229,128,161,230,249,32,144,322,43,152
APOM,236,101,68,50,127,128,82,76,75,110,39,39,181,81,156,68,100,195,57,250,53,290,210,85,144,203,224,22,108,260,26,121
C6orf47,280,186,125,100,203,180,141,139,106,163,56,80,250,145,187,75,128,242,70,301,62,332,237,99,154,227,255,37,129,334,45,163
GPANK1,313,236,151,119,217,211,163,150,119,197,62,83,264,170,218,64,120,271,84,336,71,363,274,147,171,253,301,38,143,333,54,174
CSNK2B,339,268,179,143,251,232,200,187,134,179,61,108,281,224,224,86,136,341,79,414,102,412,333,171,180,288,324,51,181,433,72,212
ENSG00000263020,294,226,164,119,211,191,184,176,111,142,56,105,225,194,185,79,126,292,70,364,85,354,296,146,166,256,281,42,158,397,60,178
