sample,total,primary_mapped,primary_mapped_percent,duplicates,percent_duplicates
HG002,1212896,1210618,99.81,223931,18.46250627
HG003,942780,940886,99.8,174720,18.53242538
HG004,614622,613336,99.79,105526,17.169252
HG005,397233,396448,99.8,56006,14.09903004
HG01106,797123,795530,99.8,137014,17.18856437
HG01258,741402,740227,99.84,130852,17.6492645
HG01891,3474,3453,99.4,1287,37.04663212
HG01928,629327,628062,99.8,112795,17.92311469
HG02055,564763,563680,99.81,96669,17.11673746
HG02630,450805,449725,99.76,64887,14.39358481
HG03492,759844,758405,99.81,147790,19.45004501
HG03579,193261,192763,99.74,24939,12.90431075
NA19240,392201,391446,99.81,54762,13.96273849
NA20129,1092009,1089695,99.79,215751,19.75725475
NA21309,721164,719837,99.82,122426,16.97616631
NA24694,760718,759049,99.78,127074,16.70448182
NA24695,406359,405596,99.81,84488,20.79146764
IHW09021,2000237,1996742,99.83,1676131,83.7966201
IHW09049,4527533,4520229,99.84,3728403,82.34954886
IHW09071,1144792,1142885,99.83,968702,84.61816644
IHW09117,5309266,5302682,99.88,4412192,83.10361545
IHW09118,1170102,1168062,99.83,977961,83.57912387
IHW09122,5566497,5561119,99.9,4577718,82.23696159
IHW09125,3995232,3990139,99.87,3320496,83.11146887
IHW09175,2085419,2082479,99.86,1746194,83.73348473
IHW09198,2572146,2568282,99.85,2141417,83.25409988
IHW09200,3909344,3902585,99.83,3252887,83.20800114
IHW09224,4435269,4430437,99.89,3657940,82.47391534
IHW09245,868210,866708,99.83,739625,85.18964306
IHW09251,2511645,2507312,99.83,2086154,83.05926992
IHW09359,5731326,5723486,99.86,4751637,82.90641642
IHW09364,1020007,1018655,99.87,871456,85.43627642
IHW09409,2470494,2467296,99.87,2026124,82.01290916
