sample,total,primary_mapped,primary_mapped_percent,duplicates,percent_duplicates
HG002,557769,556561,99.78,107733,19.31498524
HG003,401179,400436,99.81,75067,18.71159757
HG004,283210,282527,99.76,53685,18.95589845
HG005,226171,225626,99.76,37001,16.3597455
HG01106,445841,444968,99.8,88423,19.83285521
HG01258,459239,458465,99.83,97743,21.28368889
HG01891,476,476,100,100,21.00840336
HG01928,375793,375014,99.79,79098,21.04828988
HG02055,316964,316303,99.79,63969,20.18178721
HG02630,274918,274456,99.83,48235,17.54523167
HG03492,243427,242997,99.82,41575,17.07904218
HG03579,113398,113143,99.78,18736,16.52233725
NA19240,167798,167376,99.75,26054,15.52700271
NA20129,465662,464667,99.79,96595,20.74358655
NA21309,380881,380041,99.78,74010,19.43126593
NA24694,458999,457826,99.74,91823,20.00505448
NA24695,186484,186046,99.77,36873,19.7727419
IHW09021,253825,253585,99.91,160914,63.39564661
IHW09049,506101,505497,99.88,307102,60.67998285
IHW09071,145668,145489,99.88,91224,62.6245984
IHW09117,610765,610322,99.93,388800,63.65787169
IHW09118,97855,97636,99.78,54982,56.18721578
IHW09122,888715,887926,99.91,590452,66.4388471
IHW09125,502864,502404,99.91,320664,63.76753953
IHW09175,244379,244104,99.89,155953,63.81603984
IHW09198,372735,372473,99.93,240812,64.60675815
IHW09200,442819,442428,99.91,272966,61.64279311
IHW09224,467481,467037,99.91,291530,62.36189278
IHW09245,42239,42192,99.89,20769,49.17019816
IHW09251,245532,245242,99.88,145007,59.05828975
IHW09359,789317,788784,99.93,524135,66.40361224
IHW09364,81047,80978,99.91,42120,51.96984466
IHW09409,292962,292668,99.9,181254,61.86945747
