sample,gene,num_haploblocks,prop_phased
HG002,HLA-DRB1,2,100.00%
HG005,HLA-DRB1,2,100.00%
HG01106,HLA-DRB1,2,100.00%
HG02055,HLA-DRB5,1,90.72%
HG02055,HLA-DRB1,2,100.00%
HG02630,HLA-DRB5,1,93.23%
HG02630,HLA-DRB1,2,95.89%
HG03579,HLA-DRB1,2,100.00%
HG03579,HLA-DQA1,1,39.82%
IHW09021,HLA-DQA1,1,40.15%
IHW09049,HLA-DRB1,2,95.04%
IHW09071,HLA-DRB5,2,100.00%
IHW09071,HLA-DRB1,1,64.88%
IHW09071,HLA-DQA1,1,70.81%
IHW09071,HLA-DQB1,1,63.88%
IHW09071,HLA-DQB2,1,87.52%
IHW09118,HLA-DRB1,2,100.00%
IHW09118,HLA-DQB1,1,77.82%
IHW09118,HLA-DQB2,2,100.00%
IHW09175,HLA-DRB1,2,95.92%
IHW09198,HLA-DRB5,1,91.42%
IHW09224,HLA-DPB1,1,83.31%
IHW09245,HLA-DRB1,2,100.00%
IHW09251,HLA-DRB1,2,100.00%
IHW09359,HLA-DRB5,1,83.14%
IHW09364,HLA-DRB1,2,100.00%
IHW09409,HLA-DRB5,1,84.28%
NA19240,HLA-DRB5,1,87.14%
NA19240,HLA-DPB1,2,83.31%
NA20129,HLA-DRB1,2,100.00%
NA20129,HLA-DQA1,1,70.80%
