sample,gene,num_haploblocks,largest_haploblock
HG003,HLA-DRB1,3,49.75%
HG02630,HLA-DRB5,1,93.23%
HG03579,HLA-DQA1,1,59.84%
IHW09021,HLA-DQA1,1,40.15%
IHW09021,HLA-DQB1,2,65.85%
IHW09049,HLA-DRB5,1,67.82%
IHW09049,HLA-DRB1,2,63.51%
IHW09049,HLA-DPA1,2,94.91%
IHW09071,HLA-DRB1,1,79.71%
IHW09071,HLA-DQA1,1,70.81%
IHW09071,HLA-DQB2,1,87.52%
IHW09118,HLA-DRB1,2,59.69%
IHW09118,HLA-DQB1,1,77.82%
IHW09118,HLA-DQB2,2,87.67%
IHW09122,HLA-DRB5,1,80.72%
IHW09175,HLA-DRB1,3,50.73%
IHW09224,HLA-DPB1,1,83.31%
IHW09245,HLA-DRB5,2,89.33%
IHW09245,HLA-DRB1,2,59.44%
IHW09364,HLA-DRB1,2,88.08%
NA19240,HLA-DPB1,2,77.73%
NA20129,HLA-DQA1,1,70.80%
