sample,gene,num_haploblocks,largest_haploblock
HG004,HLA-DRB1,2,59.57%
HG02055,HLA-DQA1,1,87.92%
HG02630,HLA-DQA1,0,5.01%
HG02630,HLA-DQB1,0,51.70%
HG03579,HLA-DRB5,1,99.80%
HG03579,HLA-DQA2,0,0.26%
HG03579,HLA-DPB1,1,83.31%
IHW09021,HLA-DQA1,0,55.07%
IHW09021,HLA-DQA2,0,0.00%
IHW09049,HLA-DRB1,2,59.46%
IHW09049,HLA-DQA1,1,70.80%
IHW09071,HLA-DRB1,1,28.31%
IHW09118,HLA-DQB1,2,89.77%
IHW09118,HLA-DQB2,2,87.67%
IHW09125,HLA-DRB5,1,94.78%
IHW09175,HLA-DRB1,2,59.47%
IHW09175,HLA-DQB2,1,87.52%
IHW09200,HLA-DRB1,2,59.44%
IHW09224,HLA-DRB1,2,51.19%
IHW09224,HLA-DQB2,1,87.52%
IHW09245,HLA-DPB1,0,38.35%
IHW09251,HLA-DQA2,0,74.54%
IHW09359,HLA-DRB1,2,60.89%
IHW09359,HLA-DQA1,0,5.01%
IHW09364,HLA-DQA2,0,25.46%
IHW09364,HLA-DQB2,0,87.52%
IHW09409,HLA-DRB5,1,70.85%
NA19240,HLA-DPB1,2,89.87%
NA20129,HLA-DPB1,2,64.64%
NA21309,HLA-DRB5,1,73.28%
NA24694,HLA-DRB1,2,59.51%
