sample,HLA-A,HLA-B,HLA-C,HLA-DRB1,HLA-DRB5,HLA-DQA1,HLA-DQA2,HLA-DQB1,HLA-DQB2,HLA-DPA1,HLA-DPB1
HG002,1,1,1,1,1,1,1,1,1,1,1
HG003,1,1,1,0,0,1,1,1,1,1,1
HG004,1,1,1,1,1,1,1,1,1,1,1
HG005,1,1,1,1,1,1,1,1,1,1,1
HG01106,1,1,1,1,1,1,1,1,1,1,1
HG01258,1,1,1,1,1,1,1,1,1,1,1
HG01928,1,1,1,1,1,1,1,1,1,1,1
HG02055,1,1,1,1,1,1,1,1,1,1,1
HG02630,1,1,1,1,0,1,1,1,1,1,1
HG03492,1,1,1,1,1,1,1,1,1,1,1
HG03579,1,1,1,1,1,0,1,1,1,1,1
NA19240,1,1,1,1,1,1,1,1,1,1,0
NA20129,1,1,1,1,1,0,1,1,1,1,1
NA21309,1,1,1,1,1,1,1,1,1,1,1
NA24694,1,1,1,1,1,1,1,1,1,1,1
NA24695,1,1,1,1,1,1,1,1,1,1,1
IHW09021,1,1,1,1,1,0,1,0,1,1,1
IHW09049,1,1,1,0,0,1,1,1,1,0,1
IHW09071,1,1,1,0,1,0,1,1,0,1,1
IHW09117,1,1,1,1,1,1,1,1,1,1,1
IHW09118,1,1,1,0,1,1,1,0,0,1,1
IHW09122,1,1,1,1,1,1,1,1,1,1,1
IHW09125,1,1,1,1,1,1,1,1,1,1,1
IHW09175,1,1,1,0,1,1,1,1,1,1,1
IHW09198,1,1,1,1,1,1,1,1,1,1,1
IHW09200,1,1,1,1,1,1,1,1,1,1,1
IHW09224,1,1,1,1,1,1,1,1,1,1,0
IHW09245,1,1,1,0,0,1,1,1,1,1,1
IHW09251,1,1,1,1,1,1,1,1,1,1,1
IHW09359,1,1,1,1,1,1,1,1,1,1,1
IHW09364,1,1,1,0,1,1,1,1,1,1,1
IHW09409,1,1,1,1,1,1,1,1,1,1,1
