sample,platform,num_genes
HG002,PacBio,74
HG003,PacBio,75
HG004,PacBio,79
HG005,PacBio,79
HG01106,PacBio,80
HG01258,PacBio,81
HG01928,PacBio,77
HG02055,PacBio,79
HG02630,PacBio,75
HG03492,PacBio,72
HG03579,PacBio,74
IHW09021,PacBio,72
IHW09049,PacBio,73
IHW09071,PacBio,69
IHW09117,PacBio,74
IHW09118,PacBio,63
IHW09122,PacBio,78
IHW09125,PacBio,77
IHW09175,PacBio,67
IHW09198,PacBio,75
IHW09200,PacBio,77
IHW09224,PacBio,77
IHW09245,PacBio,56
IHW09251,PacBio,74
IHW09359,PacBio,79
IHW09364,PacBio,70
IHW09409,PacBio,76
NA19240,PacBio,75
NA20129,PacBio,78
NA21309,PacBio,77
NA24694,PacBio,81
NA24695,PacBio,79
HG002,ONT,65
HG003,ONT,70
HG004,ONT,63
HG005,ONT,67
HG01106,ONT,73
HG01258,ONT,80
HG01928,ONT,66
HG02055,ONT,71
HG02630,ONT,66
HG03492,ONT,59
HG03579,ONT,60
IHW09021,ONT,58
IHW09049,ONT,64
IHW09071,ONT,70
IHW09117,ONT,69
IHW09118,ONT,60
IHW09122,ONT,79
IHW09125,ONT,66
IHW09175,ONT,69
IHW09198,ONT,70
IHW09200,ONT,72
IHW09224,ONT,75
IHW09245,ONT,58
IHW09251,ONT,64
IHW09359,ONT,74
IHW09364,ONT,62
IHW09409,ONT,61
NA19240,ONT,74
NA20129,ONT,72
NA21309,ONT,65
NA24694,ONT,62
NA24695,ONT,71
