Sample,Platform,Total Reads,Reads Overlapping Target Region,Proportion of Reads Mapping to Target Region,Median Read Length (All Reads),Median Read Length (BED-Overlapping Reads),Total Aligned Bases,On-Target Bases,Proportion On-Target,Average On-Target Depth
HG002,Revio,433903,70799,0.163167805,3964,3917,1774498195,279196409,0.157338232,284.1479716
HG003,Revio,313341,51837,0.165433186,3887,3830,1253333033,196629036,0.156884907,200.116262
HG004,Revio,221210,37420,0.169160526,3978,3923,911246096,147805467,0.162201482,150.4268045
HG005,Revio,181125,29864,0.164880607,4249,4193,791156182,123326683,0.155881589,125.513888
HG01106,Revio,346805,55516,0.16007843,4180,4110,1504960803,232679304,0.154608215,236.8058833
HG01258,Revio,350323,57347,0.163697502,4348,4284,1589068519,252856194,0.159122273,257.3406115
HG01928,Revio,285145,47321,0.165954164,4371,4266,1295129769,200954230,0.155161463,204.5181635
HG02055,Revio,245466,41234,0.167982531,4163,4072,1066060709,172966919,0.162248658,176.0344961
HG02630,Revio,217949,36038,0.16535061,4389,4352,990000084,155535288,0.157106338,158.2937143
HG03492,Revio,195462,34893,0.178515517,3634,3558,734378907,127504918,0.173622794,129.7662242
HG03579,Revio,91448,16036,0.175356487,4247,4128,402951204,67356586,0.16715817,68.55115849
NA19240,Revio,137106,21942,0.16003676,3895,3791,552435886,85203049,0.154231561,86.71412942
NA20129,Revio,357570,56693,0.158550773,3971,3914,1472198212,225170814,0.152948708,229.1642299
NA21309,Revio,297724,46103,0.154851473,4089,4008,1265447263,190417780,0.150474686,193.794849
NA24694,Revio,351561,53894,0.153299143,4320,4226,1575007386,225783292,0.143353799,229.7875702
NA24695,Revio,143359,25653,0.178942375,4203,4148,623202131,105943076,0.169997936,107.8219819
HG01891,Revio,369,26,0.070460705,5225,4876.5,2054193,127261,0.061951822,0.12951798
IHW09021,Revio,90145,19882,0.220555771,3884,3869,359432545,77858634,0.216615426,79.23946084
IHW09049,Revio,191625,38133,0.198998043,3638,3639,712282842,136029522,0.190976834,138.4420125
IHW09071,Revio,52970,10991,0.207494808,4199,4199,227797224,46903626,0.20590078,47.7354642
IHW09117,Revio,215935,44949,0.208159863,3618,3585,819194100,165742474,0.202323813,168.6819252
IHW09118,Revio,41448,8829,0.213013897,3610,3614,149973776,30871977,0.205849168,31.41949309
IHW09122,Revio,290468,54612,0.188013826,3909,3922,1185949425,222366436,0.187500775,226.3101161
IHW09125,Revio,177339,36511,0.205882519,3683,3676,676982166,137503162,0.203111941,139.9417876
IHW09175,Revio,85045,19050,0.223999059,3911,3911,344339386,73913358,0.214652639,75.22421517
IHW09198,Revio,128413,27871,0.217041888,4082,4111,541370266,116960421,0.216045151,119.03472
IHW09200,Revio,164922,33574,0.203575023,3677,3663,621451282,124475200,0.2002976,126.682774
IHW09224,Revio,171355,34838,0.20330892,3502,3476,627033617,126831020,0.202271484,129.0803746
IHW09245,Revio,20914,4544,0.217270728,3282,3223,67680040,14233156,0.210300644,14.48558175
IHW09251,Revio,97536,20182,0.206918471,3616,3588,360510408,72681292,0.20160664,73.97029842
IHW09359,Revio,254873,52143,0.204584244,3623,3657,957827213,189446544,0.197787807,192.8063881
IHW09364,Revio,37428,8453,0.225846959,4322,4373,158500065,34972426,0.22064613,35.59266376
IHW09409,Revio,108674,22616,0.208108655,3602,3571,405110132,83257261,0.205517597,84.73383277
HG002,promethion,948978,124646,0.13134762,2705,2793,2646891666,353911766,0.13370844,360.188409
HG003,promethion,734992,98303,0.13374703,2564,2655,1948455778,263928181,0.13545505,268.608961
HG004,promethion,489329,68381,0.13974443,2576,2667,1311135489,186173726,0.14199427,189.475527
HG005,promethion,325728,45827,0.14069101,2881,2980,956346457,136096865,0.14230916,138.51055
HG01106,promethion,637313,85822,0.13466225,2798,2885,1845949932,253239385,0.13718649,257.730598
HG01258,promethion,589396,82238,0.13952928,2911,3018,1786040450,256144534,0.14341474,260.68727
HG01928,promethion,494449,70802,0.14319374,2872,2957,1478027044,212013251,0.14344342,215.773317
HG02055,promethion,452390,65381,0.14452353,2734,2812,1284955591,189523291,0.14749404,192.884496
HG02630,promethion,369391,51486,0.13938076,2922,3054,1108220599,157903151,0.1424835,160.703571
HG03492,promethion,589664,81822,0.13876038,2239,2369,1383515522,201101793,0.14535565,204.668344
HG03579,promethion,161467,25688,0.15909133,2825,2878,465347070,74755425,0.16064445,76.0812163
NA19240,promethion,325019,45649,0.14045025,2555,2604,857741646,121507719,0.14166004,123.662665
NA20129,promethion,844591,108299,0.12822656,2595,2694,2290882111,300570126,0.13120279,305.900753
NA21309,promethion,578510,75996,0.13136506,2715,2799.5,1629494371,219440631,0.13466793,223.332422
NA24694,promethion,604320,80114,0.13256884,2904,2993,1815198924,241619084,0.13310887,245.904211
NA24695,promethion,308099,42400,0.1376181,2252,2567,748728809,112278642,0.14995902,114.269909
HG01891,promethion,2088,245,0.11733716,1535,1748,4182977,448141,0.10713446,0.4560888
IHW09021,promethion,308664,60163,0.19491421,2747,2882,851505618,172049058,0.20205276,175.100357
IHW09049,promethion,758110,125960,0.16615003,2594,2736,1980104462,337629474,0.17051094,343.61735
IHW09071,promethion,168080,32079,0.19085554,2950,3067,488283416,95789929,0.1961769,97.4887683
IHW09117,promethion,859777,147474,0.17152587,2504,2648,2232295590,397315251,0.17798505,404.361657
IHW09118,promethion,182224,35211,0.19322921,2510,2599,448430873,88399993,0.19713182,89.9677714
IHW09122,promethion,952171,146581,0.15394399,2807,2998,2745174067,446525905,0.1626585,454.445065
IHW09125,promethion,647755,112840,0.17420167,2614,2736,1734964946,313420315,0.18064936,318.97884
IHW09175,promethion,320523,63271,0.19739925,2695,2817,872455149,174996087,0.20057889,178.099652
IHW09198,promethion,412497,76690,0.1859165,2935,3060,1214094738,234500929,0.19314879,238.659815
IHW09200,promethion,626985,107980,0.17222103,2643,2758,1666303704,296654050,0.1780312,301.915225
IHW09224,promethion,748033,123835,0.16554751,2443,2560,1877900126,325352754,0.17325349,331.122902
IHW09245,promethion,122489,23844,0.19466238,2279,2306,266751091,52249812,0.19587478,53.1764651
IHW09251,promethion,405988,72973,0.17974177,2575,2656,1044555138,191639885,0.18346555,195.038628
IHW09359,promethion,928707,156688,0.16871629,2553,2731,2457325735,428799911,0.1744986,436.404699
IHW09364,promethion,140369,27107,0.19311244,2896,3096,386552730,77412021,0.20026251,78.7849271
IHW09409,promethion,426713,77279,0.18110299,2558,2645,1109730871,207121536,0.18664123,210.794847
