Sample,Platform,Total Reads,Reads Overlapping Target Region,Proportion of Reads Mapping to Target Region,Median Read Length (All Reads),Mean Read Length (All Reads),Median Read Length (BED-Overlapping Reads),Mean Read Length (BED-Overlapping Reads),Total Aligned Bases,On-Target Bases,Proportion On-Target,Average On-Target Depth,Enrichment
HG002,Revio,433903,70799,0.16,3964,4123,3917,4083,1774498195,279196409,0.16,285,590
HG003,Revio,313341,51837,0.17,3887,4043,3830,3981,1253333033,196629036,0.16,200,587
HG004,Revio,221210,37420,0.17,3978,4153,3923,4089,911246096,147805467,0.16,151,612
HG005,Revio,181125,29864,0.16,4249,4419,4193,4354,791156182,123326683,0.16,125,581
HG01106,Revio,346805,55516,0.16,4180,4365,4110,4281,1504960803,232679304,0.15,238,580
HG01258,Revio,350323,57347,0.16,4348,4561,4284,4493,1589068519,252856194,0.16,258,599
HG01928,Revio,285145,47321,0.17,4371,4594,4266,4471,1295129769,200954230,0.16,205,579
HG02055,Revio,245466,41234,0.17,4163,4365,4072,4260,1066060709,172966919,0.16,177,613
HG02630,Revio,217949,36038,0.17,4389,4595,4352,4549,990000084,155535288,0.16,158,587
HG03492,Revio,195462,34893,0.18,3634,3773,3558,3693,734378907,127504918,0.17,130,664
HG03579,Revio,91448,16036,0.18,4247,4444,4128,4319,402951204,67356586,0.17,69,636
NA19240,Revio,137106,21942,0.16,3895,4047,3791,3937,552435886,85203049,0.15,87,577
NA20129,Revio,357570,56693,0.16,3971,4144,3914,4078,1472198212,225170814,0.15,230,571
NA21309,Revio,297724,46103,0.15,4089,4267,4008,4169,1265447263,190417780,0.15,194,560
NA24694,Revio,351561,53894,0.15,4320,4532,4226,4421,1575007386,225783292,0.14,229,527
NA24695,Revio,143359,25653,0.18,4203,4401,4148,4350,623202131,105943076,0.17,108,646
HG01891,Revio,369,26,0.07,5225,5623,4877,4900,2054193,127261,0.06,0,209
IHW09021,Revio,90145,19882,0.22,3884,4031,3869,4054,359432545,77858634,0.22,80,878
IHW09049,Revio,191625,38133,0.2,3638,3774,3639,3787,712282842,136029522,0.19,139,746
