gene_name,gene_id,biotype,mhc_class_region,start,stop,HG002,HG003,HG004,HG005,HG01106,HG01258,HG01928,HG02055,HG02630,HG03492,HG03579,NA19240,NA20129,NA21309,NA24694,NA24695,IHW09021,IHW09049,IHW09071,IHW09117,IHW09118,IHW09122,IHW09125,IHW09175,IHW09198,IHW09200,IHW09224,IHW09245,IHW09251,IHW09359,IHW09364,IHW09409
HLA-F,ENSG00000204642,protein_coding,1,29722774,29738528,209,143,97,98,165,186,119,108,117,90,49,52,168,129,165,80,56,109,40,130,25,166,96,55,80,89,94,10,57,121,20,65
HLA-G,ENSG00000204632,protein_coding,1,29826966,29831125,574,421,265,322,471,529,470,400,386,267,135,189,451,369,499,281,186,341,106,433,83,555,312,178,266,322,315,37,194,459,75,184
HLA-A,ENSG00000206503,protein_coding,1,29941259,29949572,574,602,432,299,772,524,411,439,404,275,224,275,604,380,509,259,368,562,241,618,90,517,328,176,323,441,443,49,201,646,136,375
HLA-E,ENSG00000204592,protein_coding,1,30489508,30494194,554,416,275,273,411,508,380,303,310,271,121,142,439,380,460,226,159,285,103,357,67,459,278,164,218,263,232,29,170,402,78,175
HLA-C,ENSG00000204525,protein_coding,1,31268748,31272130,990,726,508,471,692,821,577,484,632,507,258,239,789,592,823,390,331,531,217,697,165,924,569,321,496,501,517,75,291,750,170,382
HLA-B,ENSG00000234745,protein_coding,1,31353871,31367067,379,271,179,188,261,329,218,170,246,170,106,85,290,252,298,148,122,202,85,239,53,333,190,117,183,165,181,25,118,259,56,136
MCCD1,ENSG00000204511,protein_coding,3,31528961,31530232,263,167,132,113,221,249,206,158,126,109,73,88,184,155,202,108,70,117,51,154,43,180,106,59,76,110,105,20,58,202,24,81
DDX39B,ENSG00000198563,protein_coding,3,31530218,31542448,220,145,97,93,172,204,145,133,99,96,47,56,175,126,170,88,72,109,53,128,28,182,109,55,106,117,95,15,64,157,43,67
ATP6V1G2-DDX39B,ENSG00000254870,protein_coding,3,31530218,31546608,221,146,96,90,170,203,140,131,100,97,45,52,175,130,167,84,66,104,45,122,25,166,99,49,98,106,93,13,61,152,36,61
ATP6V1G2,ENSG00000213760,protein_coding,3,31544443,31548427,240,157,100,80,179,201,139,123,114,106,41,41,179,136,172,71,56,105,26,122,15,148,76,33,76,86,104,7,55,146,18,56
NFKBIL1,ENSG00000204498,protein_coding,3,31546869,31558829,173,106,80,67,140,141,99,98,89,82,33,40,131,93,135,56,39,67,21,70,10,113,55,23,46,67,64,4,31,93,12,44
LTA,ENSG00000226979,protein_coding,3,31572053,31574324,238,179,124,90,180,215,163,142,107,103,59,49,209,132,200,96,67,88,44,139,24,192,110,65,99,100,107,17,43,147,33,64
TNF,ENSG00000232810,protein_coding,3,31575564,31578336,290,209,140,118,207,226,188,171,137,141,55,55,243,175,238,99,68,136,30,167,33,226,163,71,100,125,158,14,60,182,38,79
LTB,ENSG00000227507,protein_coding,3,31580524,31582522,189,113,95,89,151,166,107,126,94,87,41,23,142,125,155,63,37,80,24,109,25,136,99,35,60,76,82,10,29,121,19,46
LST1,ENSG00000204482,protein_coding,3,31586123,31588909,216,162,116,97,185,192,151,148,117,104,63,57,175,165,192,78,57,90,38,125,21,154,94,60,68,94,107,2,45,154,16,70
NCR3,ENSG00000204475,protein_coding,3,31588894,31593006,189,144,110,87,164,179,131,148,116,100,56,51,145,131,163,64,39,65,25,107,21,129,90,40,58,84,88,4,26,103,18,40
AIF1,ENSG00000204472,protein_coding,3,31615216,31617021,257,162,109,97,163,179,124,137,109,98,45,61,165,166,153,72,53,84,29,94,17,149,85,43,57,62,96,15,29,134,27,59
PRRC2A,ENSG00000204469,protein_coding,3,31620714,31637771,207,148,109,86,176,173,171,132,100,96,45,62,179,133,163,76,57,101,29,139,23,160,93,51,79,81,93,10,48,153,25,52
ENSG00000291302,ENSG00000291302,protein_coding,3,31622773,31622860,141,121,75,69,119,113,94,58,59,72,35,34,150,107,111,55,39,84,25,112,17,127,62,41,72,60,71,7,44,117,27,53
ENSG00000289282,ENSG00000289282,protein_coding,3,31623873,31625499,202,132,90,80,160,151,138,103,77,85,42,41,150,115,140,59,33,80,27,116,18,128,68,44,72,70,68,10,38,139,21,32
BAG6,ENSG00000204463,protein_coding,3,31639027,31652705,204,152,109,77,186,185,165,147,117,90,38,62,165,131,155,73,51,89,28,125,24,149,88,53,77,93,88,10,49,134,22,60
APOM,ENSG00000204444,protein_coding,3,31652415,31658210,177,139,86,76,154,163,132,108,93,70,39,47,151,107,131,68,37,71,32,101,17,126,87,34,73,81,79,3,39,114,14,51
C6orf47,ENSG00000204439,protein_coding,3,31658297,31660778,201,131,97,97,168,146,133,122,97,86,46,63,160,120,151,63,50,83,33,119,23,144,97,32,80,84,99,12,61,140,24,58
GPANK1,ENSG00000204438,protein_coding,3,31661227,31666283,226,167,99,92,167,173,142,124,106,108,49,55,169,132,177,61,55,114,29,123,26,176,116,54,83,99,108,12,56,135,33,76
CSNK2B,ENSG00000204435,protein_coding,3,31665226,31670343,265,172,114,99,208,223,164,152,129,117,47,75,185,170,195,83,65,128,30,159,41,190,148,61,92,108,115,12,59,183,31,86
ENSG00000263020,ENSG00000263020,protein_coding,3,31666101,31673546,243,159,108,95,200,203,163,157,117,100,42,76,175,150,185,85,59,105,27,143,34,157,128,53,83,94,95,9,52,166,26,74
LY6G5B,ENSG00000240053,protein_coding,3,31669975,31673776,217,144,99,88,182,181,158,161,102,80,35,72,164,124,175,82,52,80,24,124,24,120,105,41,73,79,75,6,45,143,19,61
LY6G5C,ENSG00000204428,protein_coding,3,31676683,31684040,182,126,110,75,161,161,124,125,95,81,31,59,137,111,145,74,44,74,20,104,25,136,84,50,77,67,80,11,43,129,16,47
ABHD16A,ENSG00000204427,protein_coding,3,31686954,31703356,203,148,103,99,177,190,174,152,110,95,48,66,166,137,188,87,60,101,49,136,34,174,109,54,93,111,97,14,58,159,33,57
LY6G6F,ENSG00000204424,protein_coding,3,31706865,31710679,222,119,84,71,157,165,141,133,105,73,41,63,168,113,137,74,51,98,39,89,25,162,95,60,59,66,67,7,37,130,28,73
LY6G6F-LY6G6D,ENSG00000250641,protein_coding,3,31706903,31717918,213,132,98,88,161,167,152,139,100,83,43,62,168,124,146,66,52,95,37,115,25,159,89,64,70,83,92,9,46,134,24,67
LY6G6D,ENSG00000244355,protein_coding,3,31715347,31717919,182,129,101,100,159,147,163,140,88,84,47,62,146,138,136,61,52,100,33,122,25,162,91,57,92,90,105,11,53,131,25,53
MPIG6B,ENSG00000204420,protein_coding,3,31718593,31726714,238,174,142,121,233,227,203,189,131,124,57,80,190,176,205,96,63,115,38,177,22,182,128,64,110,111,110,12,52,161,33,72
LY6G6C,ENSG00000204421,protein_coding,3,31718647,31721746,211,152,127,107,213,192,184,172,117,105,47,77,160,168,173,83,53,112,38,166,17,163,122,48,107,93,97,15,41,137,26,52
DDAH2,ENSG00000213722,protein_coding,3,31727037,31730617,280,181,144,126,251,256,184,192,150,137,78,62,210,164,215,100,70,113,44,182,36,199,120,73,93,108,115,15,63,213,33,73
CLIC1,ENSG00000213719,protein_coding,3,31730580,31739763,236,170,107,102,195,201,148,139,116,94,42,44,182,129,176,96,56,103,25,122,28,159,118,60,89,104,91,12,57,155,28,61
MSH5,ENSG00000204410,protein_coding,3,31739676,31762676,177,126,79,80,149,155,131,129,89,71,37,47,142,106,146,67,41,75,22,87,13,125,73,39,51,66,62,5,33,113,16,41
MSH5-SAPCD1,ENSG00000255152,protein_coding,3,31740019,31764851,185,131,87,83,159,163,139,136,95,75,40,50,148,114,155,69,44,80,24,92,14,133,78,42,57,70,66,5,36,119,18,43
