gene_name	gene_id	biotype	start	stop	HG002	HG003	HG004	HG005	HG01106	HG01258	HG01928	HG02055	HG02630	HG03492	HG03579	IHW09021	IHW09049	IHW09071	IHW09117	IHW09118	IHW09122	IHW09125	IHW09175	IHW09198	IHW09200	IHW09224	IHW09245	IHW09251	IHW09359	IHW09364	IHW09409	NA19240	NA20129	NA21309	NA24694	NA24695
IQCB2P	ENSG00000217539	processed_pseudogene	28010722	28012355	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.47	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ZSCAN16-AS1	ENSG00000269293	lncRNA	28015121	28137313	0.8	0.68	0.34	0.18	0.45	0.67	0.46	0.45	0.39	0.12	0.03	0.1	0.37	0.03	0.7	0.19	1.09	0.5	0.02	0.35	0.38	0.66	0.08	0.2	0.84	0.28	0.46	0.16	0.67	0.48	0.24	0.24
U3	ENSG00000199851	snoRNA	28015567	28015777	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
OR2W2P	ENSG00000217315	unprocessed_pseudogene	28033946	28034855	1.81	0.0	0.0	0.0	0.0	0.0	0.0	0.08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
OR2B7P	ENSG00000187763	unprocessed_pseudogene	28046433	28047367	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
OR2B8P	ENSG00000182477	protein_coding	28053227	28054165	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.28	2.0	0.0	0.0	0.0	0.43	0.0	0.0	4.99	0.23	0.16	0.0	0.0	0.0	0.23	0.0	0.0	0.0	0.0	0.0	0.0
OR1F12P	ENSG00000220721	unprocessed_pseudogene	28073315	28074233	1.0	3.52	1.47	0.79	0.59	0.0	0.48	1.45	0.0	0.54	0.0	0.0	0.0	0.0	0.0	0.0	7.99	4.95	0.0	0.0	1.0	1.0	1.52	2.16	0.0	0.0	1.75	0.0	1.0	0.0	1.0	0.0
ENSG00000272009	ENSG00000272009	lncRNA	28078791	28081130	1.38	3.18	1.92	0.13	0.0	1.12	0.25	1.84	1.24	1.48	0.19	0.5	0.0	0.0	1.96	0.33	4.43	4.66	0.0	0.0	0.98	2.15	0.0	0.48	2.1	4.43	0.5	0.22	0.35	2.05	0.0	0.46
ZNF165	ENSG00000197279	protein_coding	28080567	28089563	0.78	0.91	0.51	0.23	1.44	0.45	0.46	0.23	0.7	0.04	0.0	0.0	0.0	0.0	2.2	0.2	2.96	0.0	0.0	0.0	0.07	0.18	0.0	0.0	0.94	0.0	0.0	0.0	0.29	0.25	0.44	0.93
ENSG00000291008	ENSG00000291008	lncRNA	28091136	28093664	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.29	0.0	0.0	0.0
ZSCAN12P1	ENSG00000219891	transcribed_unprocessed_pseudogene	28092426	28092845	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ZSCAN16	ENSG00000196812	protein_coding	28107688	28130082	0.67	0.42	0.1	0.0	0.31	0.73	0.19	0.12	0.32	0.02	0.0	0.0	0.09	0.0	0.28	0.1	0.32	0.0	0.0	0.0	0.18	0.92	0.0	0.0	0.58	0.15	0.55	0.09	0.24	0.69	0.04	0.43
ENSG00000290891	ENSG00000290891	lncRNA	28107747	28117139	0.94	0.26	0.0	0.0	0.33	0.16	0.36	0.0	0.17	0.04	0.0	0.0	0.19	0.0	0.66	0.25	0.29	0.0	0.0	0.0	0.43	0.76	0.0	0.0	0.86	0.0	0.38	0.22	0.15	1.4	0.09	1.03
ZNF602P	ENSG00000219392	transcribed_unprocessed_pseudogene	28115627	28116551	1.55	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.66	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	2.0	0.0	0.89	2.0	0.0	0.0
ENSG00000261839	ENSG00000261839	lncRNA	28136848	28139678	0.48	0.0	0.8	0.24	0.0	0.0	0.13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.27	1.43	0.0	0.0	0.0	0.34	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ZKSCAN8	ENSG00000198315	protein_coding	28141882	28159460	0.21	0.0	0.1	0.13	0.77	0.78	0.0	0.0	0.08	0.05	0.18	0.0	0.0	0.14	0.0	0.0	0.27	0.0	0.0	0.0	0.9	0.0	0.0	0.0	0.48	0.67	0.0	0.0	0.5	0.0	0.71	0.0
ZKSCAN8P1	ENSG00000226314	protein_coding	28161768	28169594	0.3	1.54	0.0	0.54	0.76	1.45	0.0	0.55	0.0	1.67	0.0	0.0	0.4	0.0	1.42	2.28	1.97	0.16	1.22	0.0	1.05	0.95	0.0	0.0	0.0	0.0	0.0	0.0	1.01	0.82	2.08	1.01
ENSG00000280107	ENSG00000280107	TEC	28170844	28172521	0.0	1.0	0.0	0.0	0.12	0.01	0.0	0.0	0.0	0.0	0.0	0.0	1.28	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.45	0.0	0.0	0.57	0.72	0.0	1.71	0.18
ZNF603P	ENSG00000216901	unprocessed_pseudogene	28176187	28176674	4.99	0.0	2.0	0.3	1.33	1.0	0.1	2.46	0.0	1.99	0.0	0.0	1.0	4.99	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	2.0	1.0	0.0	3.99	1.0	3.12	0.0	1.0	0.0
ZKSCAN8P2	ENSG00000218016	unprocessed_pseudogene	28188049	28189432	0.1	0.15	0.47	1.8	1.27	0.05	1.12	0.0	0.0	0.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.7	1.0
