gene_name	gene_id	biotype	start	stop	HG002	HG003	HG004	HG005	HG01106	HG01258	HG01928	HG02055	HG02630	HG03492	HG03579	IHW09021	IHW09049	IHW09071	IHW09117	IHW09118	IHW09122	IHW09125	IHW09175	IHW09198	IHW09200	IHW09224	IHW09245	IHW09251	IHW09359	IHW09364	IHW09409	NA19240	NA20129	NA21309	NA24694	NA24695
IQCB2P	ENSG00000217539	processed_pseudogene	28010722	28012355	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ZSCAN16-AS1	ENSG00000269293	lncRNA	28015121	28137313	0.41	0.21	0.17	0.14	0.64	0.35	0.38	0.12	0.27	0.17	0.16	0.12	0.14	0.0	0.21	0.08	0.31	0.14	0.0	0.11	0.14	0.35	0.0	0.0	0.27	0.08	0.07	0.2	0.62	0.4	0.03	0.19
U3	ENSG00000199851	snoRNA	28015567	28015777	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
OR2W2P	ENSG00000217315	unprocessed_pseudogene	28033946	28034855	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
OR2B7P	ENSG00000187763	unprocessed_pseudogene	28046433	28047367	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0
OR2B8P	ENSG00000182477	protein_coding	28053227	28054165	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.13	0.0	0.0	0.0	1.29	0.0	0.0	0.0	0.0	0.46	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
OR1F12P	ENSG00000220721	unprocessed_pseudogene	28073315	28074233	0.0	0.0	0.0	0.0	0.59	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.74	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
ENSG00000272009	ENSG00000272009	lncRNA	28078791	28081130	1.8	1.0	0.81	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.64	1.75	0.0	0.0	0.0	0.58	0.0	0.0	1.27	1.09	0.0	0.0	0.0	0.0	0.0	0.0
ZNF165	ENSG00000197279	protein_coding	28080567	28089563	0.16	0.43	0.25	0.0	1.34	0.29	0.0	0.0	0.28	0.0	1.09	0.0	0.0	0.0	0.42	0.0	0.43	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000291008	ENSG00000291008	lncRNA	28091136	28093664	0.0	0.0	0.44	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ZSCAN12P1	ENSG00000219891	transcribed_unprocessed_pseudogene	28092426	28092845	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ZSCAN16	ENSG00000196812	protein_coding	28107688	28130082	0.38	0.32	0.0	0.0	0.04	0.69	0.3	0.0	0.0	0.0	0.01	0.0	0.0	0.0	0.09	0.0	0.0	0.0	0.0	0.0	0.09	0.58	0.0	0.0	0.2	0.08	0.13	0.06	0.48	0.38	0.11	0.5
ENSG00000290891	ENSG00000290891	lncRNA	28107747	28117139	0.36	0.0	0.0	0.0	0.08	0.0	0.63	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.22	0.0	0.0	0.0	0.0	0.0	0.22	0.26	0.0	0.0	0.46	0.0	0.19	0.14	0.85	0.8	0.25	1.17
ZNF602P	ENSG00000219392	transcribed_unprocessed_pseudogene	28115627	28116551	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.89	0.0	0.0	0.0
ENSG00000261839	ENSG00000261839	lncRNA	28136848	28139678	0.49	0.0	0.0	0.24	0.0	0.0	0.0	0.0	0.49	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.37	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.63	0.0	0.0	0.0
ZKSCAN8	ENSG00000198315	protein_coding	28141882	28159460	0.0	0.0	0.12	0.28	0.36	0.53	0.22	0.08	0.09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.13	0.0	0.0	0.0	0.47	0.0	0.0	0.0	0.18	0.39	0.0	0.0	0.0	0.24	0.32	0.0
ZKSCAN8P1	ENSG00000226314	protein_coding	28161768	28169594	0.71	1.87	0.0	1.5	0.25	3.24	0.0	0.88	0.0	0.69	0.49	0.31	0.0	0.0	0.65	0.49	0.31	0.0	0.89	0.0	0.0	0.46	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.19	1.05	0.9
ENSG00000280107	ENSG00000280107	TEC	28170844	28172521	0.32	1.55	0.0	0.0	0.0	2.0	0.0	0.53	0.0	1.0	0.76	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.43	0.0	0.0	0.0	0.0	0.21	0.03	0.54
ZNF603P	ENSG00000216901	unprocessed_pseudogene	28176187	28176674	7.92	0.0	2.0	0.0	2.4	3.0	0.0	1.0	0.0	3.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	2.99	0.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0
ZKSCAN8P2	ENSG00000218016	unprocessed_pseudogene	28188049	28189432	1.0	0.34	0.0	0.9	0.64	0.14	0.46	1.0	0.0	0.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	2.99
TOB2P1	ENSG00000176933	processed_pseudogene	28217642	28218634	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.33	0.0	2.0	0.0
ZSCAN9	ENSG00000137185	protein_coding	28224885	28233487	1.48	1.08	0.0	0.0	0.07	0.79	0.0	0.0	0.41	0.0	0.0	0.0	0.0	0.0	0.17	0.0	0.0	0.0	0.0	0.04	0.0	0.0	0.0	0.0	0.81	0.0	0.0	0.0	2.94	1.92	0.13	0.26
ZKSCAN4	ENSG00000187626	protein_coding	28241696	28252269	1.75	0.0	0.06	0.38	0.2	0.81	0.0	0.73	0.0	0.0	0.0	0.0	0.0	0.0	0.22	0.0	0.76	0.0	0.0	0.0	0.0	0.21	0.0	0.0	0.0	0.0	0.0	0.18	1.09	1.01	0.0	0.82
NKAPL	ENSG00000189134	protein_coding	28259296	28260958	29.85	19.56	13.48	11.79	18.48	17.77	14.12	10.71	11.81	8.5	6.08	9.13	10.51	5.0	5.96	0.0	17.5	3.76	4.03	0.32	7.95	8.2	0.3	2.15	13.18	2.0	4.43	2.22	21.51	5.15	11.8	6.87
ZSCAN26	ENSG00000197062	protein_coding	28267057	28278224	0.35	0.14	0.0	0.18	0.44	0.22	0.0	0.23	0.19	0.0	0.0	0.0	1.0	0.0	0.02	0.0	0.21	0.4	0.0	0.0	0.0	0.28	0.0	0.0	0.92	0.0	0.22	0.0	1.02	0.44	0.93	0.0
ENSG00000276302	ENSG00000276302	protein_coding	28267120	28281580	0.25	0.1	0.0	0.14	0.34	0.16	0.45	0.18	0.14	0.0	0.0	0.0	0.77	0.0	0.01	0.0	0.16	0.3	0.0	0.0	0.0	0.4	0.0	0.0	0.71	0.0	0.17	0.0	0.77	0.34	0.9	0.0
PGBD1	ENSG00000137338	protein_coding	28281571	28302549	0.17	0.21	0.15	0.29	0.22	0.19	0.58	0.59	0.3	0.0	0.0	0.0	0.32	0.0	0.56	0.0	0.0	0.0	0.71	0.44	0.0	0.15	0.0	0.0	0.22	0.0	0.0	0.0	0.33	0.25	0.33	0.04
ENSG00000273712	ENSG00000273712	processed_pseudogene	28315612	28315883	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SMIM15P2	ENSG00000270326	processed_pseudogene	28319659	28319852	1.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0
ZSCAN31	ENSG00000235109	protein_coding	28324692	28356271	0.71	0.41	0.64	0.3	0.49	0.92	0.39	0.11	0.27	0.0	0.0	0.0	0.45	0.0	0.0	0.0	0.19	0.2	0.0	0.0	0.0	0.37	0.0	0.0	0.3	0.0	0.0	0.12	0.29	0.13	1.02	0.07
ENSG00000289467	ENSG00000289467	lncRNA	28335661	28335828	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0
ENSG00000290051	ENSG00000290051	lncRNA	28335994	28337030	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.7	0.0
ZKSCAN3	ENSG00000189298	protein_coding	28349946	28369172	1.03	0.4	0.57	0.57	1.13	0.33	0.95	0.0	0.0	0.22	0.26	0.0	0.16	0.0	0.0	0.0	0.0	0.41	0.4	0.0	0.48	0.76	0.0	0.0	0.4	0.0	0.0	0.2	0.0	0.67	0.38	0.2
ZSCAN12	ENSG00000158691	protein_coding	28378954	28399747	0.8	0.52	0.25	0.0	0.85	1.45	0.61	0.0	0.4	0.15	0.53	0.0	0.0	0.0	0.15	0.0	0.17	0.0	1.06	0.12	0.34	0.92	0.0	0.0	0.11	0.0	0.0	0.57	0.21	0.36	0.5	0.21
RNU2-45P	ENSG00000251877	snRNA	28410269	28410456	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ZSCAN23	ENSG00000187987	protein_coding	28431929	28443502	1.1	0.12	0.0	0.0	0.67	0.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.33	0.0	0.0	0.0	0.0	0.88	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6	0.0	0.18	0.0	0.0
COX11P1	ENSG00000231162	processed_pseudogene	28446972	28447807	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.61	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
OR2E1P	ENSG00000219262	unprocessed_pseudogene	28455647	28456141	0.0	0.0	0.0	0.0	0.0	1.22	0.0	0.69	0.0	0.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000287804	ENSG00000287804	lncRNA	28476649	28489505	0.57	0.74	0.0	0.0	0.24	0.58	0.5	1.23	0.0	0.22	0.0	0.0	0.0	0.0	0.0	0.16	0.0	0.0	0.0	0.3	0.36	0.0	0.0	0.0	0.37	0.0	0.0	0.0	0.61	0.94	0.0	0.0
ENSG00000286819	ENSG00000286819	lncRNA	28489578	28491661	0.95	0.36	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.61	0.0	0.0	0.0	0.0	0.0	0.24	0.0	0.0	0.0	0.0	0.63	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	3.56	0.0	0.0
GPX6	ENSG00000198704	protein_coding	28503295	28528215	0.43	0.23	0.0	0.0	0.32	0.31	0.74	0.63	0.39	0.69	0.0	0.0	0.0	0.15	0.0	0.12	0.0	0.0	0.27	0.48	0.65	0.16	0.0	0.0	0.46	0.16	0.06	0.35	0.24	1.72	0.15	0.1
GPX5	ENSG00000224586	protein_coding	28525880	28534955	0.0	0.0	0.22	0.0	0.0	0.48	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.29	0.0	0.48	0.0	0.0	0.0	0.0	0.14	0.0
SCAND3	ENSG00000232040	protein_coding	28570534	28616212	4.95	2.26	1.78	2.76	3.24	3.17	2.98	1.7	2.18	0.48	0.74	0.29	0.75	0.55	1.35	0.06	2.84	0.59	0.53	1.14	0.68	1.34	0.12	0.63	1.84	0.63	0.78	0.94	3.2	2.01	3.85	1.57
ZBED9-AS1	ENSG00000246350	lncRNA	28587377	28591747	0.0	0.33	0.0	0.62	0.14	0.55	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.62	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.16	0.01	0.0	0.0
ENSG00000271440	ENSG00000271440	processed_pseudogene	28633380	28633594	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	1.3	0.0	0.0	0.0
ENSG00000287279	ENSG00000287279	lncRNA	28634860	28649538	0.0	0.09	0.0	0.05	0.23	0.13	0.0	0.93	0.0	0.35	0.0	0.14	0.0	0.0	0.0	0.0	0.84	0.0	0.0	0.25	0.0	0.0	0.0	0.0	0.48	0.0	0.0	0.0	0.35	0.0	0.97	0.57
LINC00533	ENSG00000235570	lncRNA	28648285	28649066	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.97	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.23	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
RPSAP2	ENSG00000237425	processed_pseudogene	28732016	28732904	0.0	0.0	0.49	0.74	0.0	0.0	0.0	0.0	0.2	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.37	0.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0
NOP56P1	ENSG00000235559	processed_pseudogene	28783632	28784004	1.0	0.0	1.0	2.0	1.0	1.0	0.0	2.0	0.0	0.0	0.87	0.0	0.0	0.0	0.0	0.0	4.37	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	2.0	2.04	1.0
ENSG00000225173	ENSG00000225173	lncRNA	28837239	28839058	0.0	2.0	0.0	0.0	1.0	2.9	0.0	0.41	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0
LINC01623	ENSG00000225595	lncRNA	28859624	28864630	0.41	0.84	0.0	0.15	0.38	3.47	0.8	0.47	0.18	1.03	0.0	0.0	1.74	0.0	0.71	0.0	1.31	0.92	0.0	0.88	1.58	0.0	0.0	0.0	0.11	0.0	0.43	1.33	2.7	1.41	0.86	0.72
RPL13P	ENSG00000213916	processed_pseudogene	28861415	28862047	0.0	0.0	0.0	0.0	0.0	3.1	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	2.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.43	3.0	0.04	0.0	0.0
ZNF90P2	ENSG00000233366	processed_pseudogene	28888831	28889906	3.85	0.28	0.97	1.0	3.89	0.63	7.24	1.0	1.65	0.0	0.97	0.0	0.36	0.53	0.18	0.0	0.0	0.0	0.83	0.0	0.59	1.0	0.0	0.0	1.0	0.0	0.0	2.0	0.0	0.0	4.8	5.0
HCG14	ENSG00000224157	lncRNA	28896529	28897322	0.0	0.0	0.0	0.0	1.0	0.43	3.81	0.0	2.99	0.0	0.16	0.0	1.99	0.0	0.0	0.0	0.14	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.99	2.0	2.1	0.0	0.99
TRIM27	ENSG00000204713	protein_coding	28903001	28923988	0.83	0.27	1.15	0.39	0.98	0.44	0.52	0.44	0.0	0.25	0.39	0.26	0.0	0.0	0.34	0.37	0.87	0.0	0.0	0.23	0.15	0.35	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.23	0.79	0.41
RNU6-930P	ENSG00000212240	snRNA	28915644	28915744	0.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	1.0	0.0
LINC01556	ENSG00000204709	lncRNA	28943876	28944537	0.0	0.18	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.78	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.11	1.0	0.0
KRT18P1	ENSG00000228666	processed_pseudogene	28969129	28970460	0.61	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.87	0.0	0.0	0.0	2.0	0.33	0.0	0.0	4.53	0.0	2.0	0.0	0.0	0.0	0.0	1.47	0.03	0.0	0.49	0.0	2.0	0.71	3.0	0.0
RN7SL471P	ENSG00000263426	misc_RNA	28977474	28977773	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.62	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0
HCG15	ENSG00000227214	lncRNA	28986202	28987484	2.0	0.89	0.19	0.0	1.0	3.16	0.0	0.0	1.0	0.0	0.0	0.0	1.07	0.0	4.94	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	2.0	2.06	0.0	0.12	0.0	1.12	0.0	1.0	0.0
ENSG00000244349	ENSG00000244349	lncRNA	28986799	28988536	2.0	0.95	0.0	0.0	1.0	2.23	0.0	0.0	0.75	0.0	0.0	0.0	0.11	0.0	6.51	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	2.0	3.46	0.0	0.0	0.0	0.82	0.0	1.09	0.0
ZNF311	ENSG00000197935	protein_coding	28994784	29005316	0.65	0.35	0.02	0.09	0.0	0.16	0.17	0.61	0.49	0.11	0.0	0.53	0.0	0.0	0.0	0.0	0.0	0.31	1.64	0.0	0.0	0.23	0.0	0.0	0.0	0.0	0.0	0.0	0.88	0.0	0.0	0.0
OR2AD1P	ENSG00000223677	unprocessed_pseudogene	29026679	29027607	1.0	0.0	0.29	0.0	0.0	0.41	0.43	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.88	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
OR2W1-AS1	ENSG00000277661	lncRNA	29036020	29076524	0.18	0.09	0.22	0.33	0.18	0.11	0.4	0.3	0.55	0.0	0.0	0.0	0.22	0.0	0.21	0.0	0.27	0.0	0.0	0.0	0.13	0.72	0.0	0.0	0.06	0.0	0.19	0.1	0.49	0.08	0.17	0.0
OR2W1	ENSG00000204704	protein_coding	29044212	29045175	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.56	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
OR2P1P	ENSG00000236909	unprocessed_pseudogene	29071823	29072599	0.0	0.0	0.0	0.0	0.0	0.0	0.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SAR1AP1	ENSG00000228364	processed_pseudogene	29076572	29077168	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
