ID	start	stop	transcripts	parent_genes	HG002	HG003	HG004	HG005	HG01106	HG01258	HG01928	HG02055	HG02630	HG03492	HG03579	IHW09021	IHW09049	IHW09071	IHW09117	IHW09118	IHW09122	IHW09125	IHW09175	IHW09198	IHW09200	IHW09224	IHW09245	IHW09251	IHW09359	IHW09364	IHW09409	NA19240	NA20129	NA21309	NA24694	NA24695
ENSE00001560573	28010722	28012355	ENST00000401788	IQCB2P-201	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.47	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSE00003888495	28015121	28015737	ENST00000660873	ZSCAN16-AS1-203	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSE00001437744	28015567	28015777	ENST00000362981	U3.2-201	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSE00003886421	28016359	28017201	ENST00000660873	ZSCAN16-AS1-203	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSE00001558593	28033946	28034855	ENST00000406313	OR2W2P-201	1.81	0.0	0.0	0.0	0.0	0.0	0.0	0.08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSE00001775450	28046433	28047367	ENST00000429302	OR2B7P-201	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
ENSE00001771378	28053227	28054165	ENST00000432841	OR2B8P-201	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.28	2.0	0.0	0.0	0.0	0.43	0.0	0.0	4.99	0.23	0.16	0.0	0.0	0.0	0.23	0.0	0.0	0.0	0.0	0.0	0.0
ENSE00003870933	28060377	28060488	ENST00000660873	ZSCAN16-AS1-203	0.63	2.0	1.0	0.0	1.0	2.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0
ENSE00001558820	28073315	28074233	ENST00000402365	OR1F12P-201	1.0	3.52	1.47	0.79	0.59	0.0	0.48	1.45	0.0	0.54	0.0	0.0	0.0	0.0	0.0	0.0	7.99	4.95	0.0	0.0	1.0	1.0	1.52	2.16	0.0	0.0	1.75	0.0	1.0	0.0	1.0	0.0
ENSE00003697708	28078791	28078972	ENST00000605945	ENSG00000272009	0.0	1.7	0.0	0.0	0.0	0.67	0.0	0.09	1.0	1.0	0.0	1.0	0.0	0.0	2.0	0.0	4.99	6.99	0.0	0.0	2.0	4.0	0.0	1.0	3.0	7.99	1.0	0.0	0.0	1.77	0.0	0.0
ENSE00001473558	28080567	28081530	ENST00000377325	ZNF165-201	1.89	3.69	1.99	0.55	0.3	1.0	0.0	1.99	1.64	0.36	0.0	0.0	0.0	0.0	2.83	0.0	3.25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.9	0.0	1.0
ENSE00003916078	28080567	28080970	ENST00000683778	ZNF165-202	2.0	3.98	2.0	0.0	0.0	1.0	0.0	1.99	1.15	0.85	0.0	0.0	0.0	0.0	3.0	0.0	3.05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	2.0	0.0	1.0
ENSE00003700242	28080625	28081130	ENST00000605945	ENSG00000272009	2.0	3.99	2.0	0.25	0.0	1.0	0.0	1.99	1.44	0.56	0.0	0.0	0.0	0.0	3.0	0.0	3.04	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	2.0	0.0	1.0
ENSE00001981221	28085480	28085891	ENST00000377325,ENST00000683778	ZNF165-201,ZNF165-202	0.09	1.0	0.0	0.0	1.5	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	5.0	0.0	0.0	0.0	0.0	0.83	0.0	0.0	0.56	0.0	0.0	0.0	0.0	0.0	1.25	1.44
ENSE00000848508	28086171	28086310	ENST00000377325,ENST00000683778	ZNF165-201,ZNF165-202	1.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	3.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
ENSE00001473554	28088562	28089563	ENST00000377325,ENST00000683778	ZNF165-201,ZNF165-202	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.42	0.0	0.0
