gene,sample,hap1,hap2,alignment_length_1,alignment_length_2
HLA-A,HG002,0,NA,4623,NA
HLA-A,HG01106,95,NA,4641,NA
HLA-A,HG01258,0,NA,4625,NA
HLA-A,HG02055,0,NA,4624,NA
HLA-A,HG02630,0,NA,4625,NA
HLA-A,HG03492,0,NA,4623,NA
HLA-A,HG03579,60,NA,4642,NA
HLA-A,NA19240,18,NA,4623,NA
HLA-A,NA20129,560,2,3371,4626
HLA-A,NA21309,0,NA,4623,NA
HLA-B,HG002,11,3,3316,3322
HLA-B,HG005,0,NA,3330,NA
HLA-B,HG01106,0,NA,3306,NA
HLA-B,HG01258,0,4,3317,3330
HLA-B,HG01928,0,0,3321,3321
HLA-B,HG02055,0,0,3317,3316
HLA-B,HG02630,0,NA,3321,NA
HLA-B,HG03492,0,0,3316,3317
HLA-B,HG03579,0,NA,3306,NA
HLA-B,NA19240,1,1723,3331,2763
HLA-B,NA21309,0,0,3334,3316
HLA-C,HG002,0,0,3372,3373
HLA-C,HG005,0,NA,3373,NA
HLA-C,HG01106,7,NA,3373,NA
HLA-C,HG01258,0,0,3382,3372
HLA-C,HG01928,0,0,3373,3373
HLA-C,HG02055,0,24,3382,3387
HLA-C,HG02630,0,NA,3373,NA
HLA-C,HG03492,0,3,3382,3376
HLA-C,HG03579,0,NA,3372,NA
HLA-C,NA19240,0,0,3373,3373
HLA-C,NA21309,0,0,3382,3382
