gene,snps
HLA-F,91
HLA-G,47
HLA-A,247
HLA-E,3
HLA-C,146
HLA-B,252
MCCD1,12
DDX39B,64
ATP6V1G2-DDX39B,73
ATP6V1G2,6
NFKBIL1,19
LTA,4
TNF,1
LTB,0
LST1,3
NCR3,8
AIF1,3
PRRC2A,24
ENSG00000291302,0
ENSG00000289282,6
BAG6,13
APOM,1
C6orf47,2
GPANK1,2
CSNK2B,6
ENSG00000263020,10
LY6G5B,5
LY6G5C,1
ABHD16A,4
LY6G6F,2
LY6G6F-LY6G6D,4
LY6G6D,2
MPIG6B,8
LY6G6C,6
DDAH2,2
CLIC1,2
MSH5,11
MSH5-SAPCD1,10
SAPCD1,0
VWA7,2
VARS1,4
LSM2,3
HSPA1L,2
HSPA1A,2
HSPA1B,3
NEU1,4
SLC44A4,30
EHMT2,12
C2,22
ZBTB12,2
ENSG00000244255,12
CFB,8
NELFE,2
SKIC2,6
DXO,0
STK19,7
C4A,15
C4B,18
CYP21A2,14
TNXB,78
ATF6B,7
FKBPL,1
PRRT1,4
ENSG00000285085,4
PPT2,20
PPT2-EGFL8,27
EGFL8,0
AGPAT1,8
RNF5,1
AGER,2
PBX2,3
GPSM3,2
NOTCH4,54
TSBP1,310
BTNL2,39
HLA-DRB5,0
HLA-DRB1,0
HLA-DQA1,1100
HLA-DQB1,782
HLA-DQA2,18
HLA-DQB2,7
HLA-DPA1,2
HLA-DPB1,4
